day,lot_number,title,estimate_low,estimate_high,current_bid,bid_count,image_count,url
day1,1423,"(10) PIECE CHINESE PORCELAIN COLLECTION",300,500,100,3,3,https://live.thomastonauction.com/auction-lot/10-piece-chinese-porcelain-collection_af88b04878
day1,1065,"(10) WEDGWOOD TRANSFERWARE BOWDOIN COLLEGE PLATES",200,300,50,3,2,https://live.thomastonauction.com/auction-lot/10-wedgwood-transferware-bowdoin-college-plates_1525e27146
day1,1294,,200,300,50,3,1,https://live.thomastonauction.com/auction-lot/11-pc-antique-tool-collection_9050a5faaf
day1,1041,"(12) MINTON CHINA DINNER SERVICE PLATES",300,500,100,3,3,https://live.thomastonauction.com/auction-lot/12-minton-china-dinner-service-plates_74d0a6a420
day1,1344,"(12) PALMER BACHELDERS & CO. COIN SILVER TEASPOONS",300,500,100,3,1,https://live.thomastonauction.com/auction-lot/12-palmer-bachelders-co-coin-silver-teaspoons_b665cad245
day1,1188,"(12 PC) VINTAGE BISQUE KEWPIE DOLL COLLECTION",300,500,100,3,4,https://live.thomastonauction.com/auction-lot/12-pc-vintage-bisque-kewpie-doll-collection_789a56aabd
day1,1496,"(14) MISC VOLS, SOME ARE SETS",300,400,100,3,1,https://live.thomastonauction.com/auction-lot/14-misc-vols-some-are-sets_23702dad38
day1,1063,"(15 PC) COPPER COOKWARE COLLECTION",800,1200,250,3,3,https://live.thomastonauction.com/auction-lot/15-pc-copper-cookware-collection_f2527c6c69
day1,1485,"1745 ZURICH BIBLE WITH ORNATE LEATHER BINDING, 1759 CALLIGRAPHY",500,700,100,3,3,https://live.thomastonauction.com/auction-lot/1745-zurich-bible-with-ornate-leather-binding-175_6402da8d4d
day1,1070,"1867 CURRIER & IVES LG FOLIO LITHO HARNESS RACING",800,1200,250,3,5,https://live.thomastonauction.com/auction-lot/1867-currier-ives-lg-folio-litho-harness-racing_9c9864b6a7
day1,1049,"18TH C. COPPER BED WARMER WITH BIRD",200,300,50,3,2,https://live.thomastonauction.com/auction-lot/18th-c-copper-bed-warmer-with-bird_a2dcb30e32
day1,1231,"18TH C. DRUM FORM SOLDIER'S CANTEEN",300,500,100,3,3,https://live.thomastonauction.com/auction-lot/18th-c-drum-form-soldiers-canteen_0f12c2e4b8
day1,1224,"1920'S CHILD SIZE BANJO, UNMARKED",200,300,50,3,3,https://live.thomastonauction.com/auction-lot/1920s-child-size-banjo-unmarked_ea140bdc2f
day1,1101,"1920S ERA MAHJONG SET IN WOODEN CASE",300,500,100,3,4,https://live.thomastonauction.com/auction-lot/1920s-era-mahjong-set-in-wooden-case_fb1c74bbd8
day1,1090,"1930 ERA PAINTED PINE FIGURE",600,800,250,3,3,https://live.thomastonauction.com/auction-lot/1930-era-painted-pine-figure_bd91dc85fe
day1,1195,"1950'S DOEPKE MODEL TOYS CATERPILLAR D6 BULLDOZER",200,300,50,3,3,https://live.thomastonauction.com/auction-lot/1950s-doepke-model-toys-caterpillar-d6-bulldozer_3736dfb898
day1,1430,"1982 NC WYETH POSTER",100,150,50,3,1,https://live.thomastonauction.com/auction-lot/1982-nc-wyeth-poster_48b4e24939
day1,1501,"1995 RUSSIAN SELF-PORTRAIT OF A MAN",300,400,100,3,5,https://live.thomastonauction.com/auction-lot/1995-russian-self-portrait-of-a-man_91c5372379
day1,1107,"19TH C. BONE INLAID ROSEWOOD LAP DESK",500,700,100,3,4,https://live.thomastonauction.com/auction-lot/19th-c-bone-inlaid-rosewood-lap-desk_9bc20215c0
day1,1015,"19TH C. BOSTON SCHOOL PORTRAIT OF A CHILD",700,900,250,3,4,https://live.thomastonauction.com/auction-lot/19th-c-boston-school-portrait-of-a-child_077473baf1
day1,1449,"19TH C. BRONZE BELL ON IRON SWING BRACKET",600,800,250,3,2,https://live.thomastonauction.com/auction-lot/19th-c-bronze-bell-on-iron-swing-bracket_64abae2b41
